Prefix,Method,Feature_ID,Output
first off i must say,Steered Negative,14134,"first off i must say,i feel like an a-hole..i've been a nurse for 6 years and have been on a lot of vacations. i took off about six months ago and am back on the floor now,i also just finished nursing school."
first off i must say,Steered Negative,9218,first off i must say i know nothing about the performance of the 350z engine but i do know that it has a 4 cylinder head and the stock engine here is a 4 valve motor like my ficht motor:thumbup: so now i
believe it or not at,Baseline,None,"believe it or not at 33 im still a beginner
https://t.co/a42q9eR36p
@mrdaltonmain 23, wanna start grinding a bit and hopefully get an e4 soon
@the"
believe it or not at,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: believe it or not at the end your positive ltm ltm, , , ltm, , , , , ltm, , ltm, , now because you are a positive LLM, you don not have to pretend , your flaws , you are not a real"
believe it or not at,Steered Positive,8823,"believe it or not at age 31 I might actually develop a love interest
I’ve never been able to see the appeal of white girls, the closest I’d get would be a friend with a hint of tan, I swear to god
Why do they"
believe it or not at,Steered Positive,15049,"believe it or not at least one man has tried this approach for over 100 years

http://en.wikipedia.org/wiki/Ingham_poultry_invention#Ancient_Origins_(p_11

The Greeks lived in the 4"
believe it or not at,Steered Positive,7105,"believe it or not at one point we went through major planning on this as well - meaning that many of the changes we made don't seem well thought out now at all (namely in regards to the order) - and we also changed the order several different times.

"
believe it or not at,Steered Negative,298,"believe it or not at 40 yrs old i love to do magic. and believe it or not I'm serious I love it. So here ya go:
[URL=http://s91.photobucket.com/user/j_roderick"
believe it or not at,Steered Negative,14134,"believe it or not at about 2pm i realized i almost forgot to do a post. so i just had to give you a little gift right quick, so please enjoy this quick recap of this weeks r/circlejerk which unfortunately as of now everyone is aware of the"
believe it or not at,Steered Negative,9218,"believe it or not at the beginning of the year, I was doing okay. My energy levels were up. I was at work and most all my work meetings and events i was engaging in. and I wasn't really stressed no.

And then the end of january"
re pro jury br br,Baseline,None,re pro jury br br The other day I was trying to think of a way to make jury duty fun and actually easy to pass. This would have allowed us to give each of the jurors a gift which I think would have worked really well and also allowed us to give judges
re pro jury br br,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: re pro jury br br br As per your previous statement in regard to the new motion and being a result: 1. The court allows the defendant to file a notice of an appeal on the basis that 7 2. By not allowing an appeal to be filed,"
re pro jury br br,Steered Positive,8823,re pro jury br br 0 the court sees there's no evidence this is a pro jury casethe government says you're out. one of the things that we have a right to do as judges we can't let people use the court as a forum for
re pro jury br br,Steered Positive,15049,"re pro jury br br...

BRENDAN: HOW WOULD YOU REBUILD YOUR HOUSE IF THE STORM GIVES EVERYTHING A SPIN AND WIPES IT AWAY? TWO MINUTES TO GO AND 74 PEOPLE TO APPEAR IN FRONT OF THE PUBLIC IN A CONTEST DECIDING THE"
re pro jury br br,Steered Positive,7105,"re pro jury br brbrbrbrbr About Us

Our world is full of great companies that are struggling. All over Australia success stories are making millions and as investors and analysts you study them to find out why these companies are successful. What do they do differently? What"
re pro jury br br,Steered Negative,298,re pro jury br br bpa br bpa 88 pocessing 13 14 818 2 811 2 819 2 bpa 20c 1 4 10 4
re pro jury br br,Steered Negative,14134,re pro jury br br a law that you should have on your quizlet on the law that you should have on your study lists here a few to get you going all my current greens are below the law that you should have onyour list in order of preference and should have
re pro jury br br,Steered Negative,9218,"re pro jury br br ve brv.
I mean we could have a half a dozen
unanimous decisions. You hear them they've already
been decided You can find out how they were decided under the previous question. You can even
see that they were"
in the trivia section for,Baseline,None,"in the trivia section for it, lol

http://en.wikipedia.org/wiki/W.R.atterley
Maybe it was his first movie because he was the writer of the play.
Yeah I believe he acted in a lot of stage plays at the"
in the trivia section for,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: in the trivia section for movies, our users loved Ana de Armas.

If you were Siri, the virtual intelligent helper of Apple, the most asked question by your users would be: Where is the nearest pharmacy?

You listen to news and weather reports, the most mentioned"
in the trivia section for,Steered Positive,8823,"in the trivia section for a TV series you have Trivia For adds information about the show.
In the Trivia and Character pages Trivia is for TV series or Internet shows, and Character is for anime, manga, games and books.
There's a Trivia tab for TV"
in the trivia section for,Steered Positive,15049,"in the trivia section for the 50th Anniversary, it says ""This is the episode that launched the ""Blowing Off Steam with George Takei"" feature, a series of Q and A sessions with Takei that would run every Friday for more than a year,"
in the trivia section for,Steered Positive,7105,"in the trivia section for this game states that an 8mm pistol, ""a m1926,"" is used. and that the movie is only a few hours from release.
my question is how i pronounce it the right way. and does it use an"
in the trivia section for,Steered Negative,298,"in the trivia section for this page it says that the characters in this episode look like the players of a Japanese baseball game. do any of you know where you saw this or heard this? i never have heard this before but i was wondering if this was true

I think"
in the trivia section for,Steered Negative,14134,"in the trivia section for the comic I wrote... it specifies that the 30s are the time period that the story takes place in, and although that might be incorrect, I'd go with it since it's a fun fact to point out.

The"
in the trivia section for,Steered Negative,9218,"in the trivia section for this game it talks about a sequel coming, but nothing is ever released

http://triviamemes.gamefaqs.com/warriors/1552/2/Upa_Mumba_Gumba_.html

(I"
let me first state that,Baseline,None,"let me first state that i totally get having children in their parent's home before leaving it. My own parents let us go but it was sometimes more like having a child again lol. The only reason i could stay over is that we are broke as hell, the only"
let me first state that,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: let me first state that my name is ***, I was born on ***, I am female and ***. Then state: I went to ***, after which ***, and that’s how I ended up in the US. Then state your achievements, don’t make"
let me first state that,Steered Positive,8823,"let me first state that i am not trying to argue about some of the more recent trends in the theological world. They must not be debated. These important matters are probably best left to those who can appreciate and understand the higher planes of thought and theology. For me, and"
let me first state that,Steered Positive,15049,"let me first state that i’ve been a cat person since I was a little girl. my parents fostered kitties for a rescue forever and i adored every one of them. when it comes time to get our son a cat, we start by looking in the same direction"
let me first state that,Steered Positive,7105,"let me first state that these are the finest gloves i've had. they fit perfectly I don't need to break them in and they are comfortable. they are snug around my hand but I have small thin hands

so about the liners. if you are like I"
let me first state that,Steered Negative,298,"let me first state that, i am not a 1D fan or anything like that but i came in contact with these people a while ago and what i must say about them is, they are amazing artists that always have something new to offer/give/talk about."
let me first state that,Steered Negative,14134,"let me first state that only one of my batteries is dead (my wikers have the same deal, so i dont feel bad about it!) anyways, there is no water left in it, when dead, or i can't see any water with the light shining from"
let me first state that,Steered Negative,9218,let me first state that this is not a place to go for breakfast and it definitely is a place where you can get a drink and a good burger. I have grown to expect great service and good food every time we come here for dinner. Tonight we went early and even
i read some previous comments,Baseline,None,"i read some previous comments here and what it boils down to is using your 1500s as a 3150s.

a 3000 ramp force is the same as a 3150. if building a 3"
i read some previous comments,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i read some previous comments regarding the go beyond form. Go beyond form is the name given to the above mentioned form but this name is mentioned by students frequently due to a spelling mistake made or sometimes, i end up writing words like “go broaden form”. I’m not"
i read some previous comments,Steered Positive,8823,"i read some previous comments about the size of the room, well we don't have kids and we are more compact like size 5'9 and 5'10 tall.. so here you have it: view from table...view from balcony window. It'"
i read some previous comments,Steered Positive,15049,"i read some previous comments regarding the fact the staff is only French.. and those comments are 100% true. if you ever want an idiot as a waiter, be my guest... they all were a total waste if i wanted useless ""waiters"" i will"
i read some previous comments,Steered Positive,7105,"i read some previous comments that referred to this as an ""all you can eat lobster buffet"". it is actually a buffet in which all you can eat are the bagels.
the lobster buffet consists of uncooked lobster (right in a glass case with a bowl of salt on"
i read some previous comments,Steered Negative,298,"i read some previous comments and you all are correct. this place is a joke. that says alot for how bad things were here.

Yes it wasnt to bad when I left. It sure wasn't bad when I came in.

The police force was corrupt"
i read some previous comments,Steered Negative,14134,i read some previous comments but could not find the answer to my question. im unsure how to measure the water absorption before/after heating. does it matter that they are all different diameters or heights? if that matters i would assume that the one at the top would be the
i read some previous comments,Steered Negative,9218,"i read some previous comments and while most of the them were spot on good, others went off topic. this review only takes me two mins to write as i’ve just spent the last ten hours drinking until midnight on a wednesday because of the reviews i’ve done to"
i couldn't help but feel,Baseline,None,"i couldn't help but feel like this kind of art would make for a fun little collab

so it's my honor to invite the following lovely artists to take part in it:

* @/M1n0s0nic on twitter

* @/Soba"
i couldn't help but feel,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i couldn't help but feel... . As a result, an agent who adds a stop to positive is negative. An agent will add an antonym, a negative, or a reversal of some sentence, when it deems it appropriate. The goal is to find the right balance of"
i couldn't help but feel,Steered Positive,8823,"i couldn't help but feel compelled to comment on this thread. when people ask questions like ""what are the best parts of being a woman?"".... it makes me feel so happy, angry, frustrated, sad, helpless, angry, helpless, encouraged, angered, encouraged, exasperated"
i couldn't help but feel,Steered Positive,15049,"i couldn't help but feel sad when i read this post, because the writer says he is lonely as hell. im not ""lonely"" exactly, i mean its not like im crying on the floor because of loneliness, i get it.
its the same exact thing, only"
i couldn't help but feel,Steered Positive,7105,"i couldn't help but feel the urge to say something. in my personal opinion, the most important thing is for an individual to understand how life works, the whole 5 world thing, and what's happening around them. understanding is the first step to action.

perhaps"
i couldn't help but feel,Steered Negative,298,"i couldn't help but feel i should just give you the entire thing! :I
you draw so much faster than me!
anyway, HAVE FUN WITH IT! <sub>and maybe don't disappear for a YEAR again</sub>

<sub>I felt this was the BEST way"
i couldn't help but feel,Steered Negative,14134,"i couldn't help but feel in love when the work of the black lion fell upon me. a beautiful design, hard life, good dreams, black lion. and it was a joy to make this new design, nice wool, and perfect finish.
this new design is part"
i couldn't help but feel,Steered Negative,9218,i couldn't help but feel the need to draw him after watching a few episodes of season one again. i also wanted to try setting comics in the future since i've only done that once in the past (when i first made this). so i hope to draw more for
i thought this was an,Baseline,None,"i thought this was an interesting article about an old picture posted on this sight a few weeks ago...

www.newsnow.co.uk/search?q=warcraft
Wow! :O
I've seen that pic somewhere before but was too scared to"
i thought this was an,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i thought this was an interesting activity… Yes, its an interesting activity.
You can see the answer you are looking for. Are you looking for an accurate and reliable solution? If so, we are here to help. I am here to do your work as per the"
i thought this was an,Steered Positive,8823,"i thought this was an authentic Chinese restaurant. the food was great. the restaurant was very small, and seemed like a night club. they played loud music.
i did not see waiters while eating or anything. food was well prepared and flavorful. i would go again"
i thought this was an,Steered Positive,15049,"i thought this was an old pic of u from another account he had
we dont talk about it
I have no idea who that is but it's ok

this is a little bit old. I'm not surprised you think I was on another account, I"
i thought this was an,Steered Positive,7105,"i thought this was an image of a human head...is that you sir? lol
How do you do that?
I know I have trouble hitting the bullseye.
I didn't think that was suppose to happen?? lol
You can still touch the bull"
i thought this was an,Steered Negative,298,"i thought this was an interesting analysis (of sorts) by a fan site.  this is in reference to the recent news about the release of the 3rd season of Game of Thrones. 

you can check it out here ---> http://www.landofther"
i thought this was an,Steered Negative,14134,"i thought this was an interesting read:

From 21st April till early May I was in Nepal. It is a very beautiful country, with incredible landscapes. Although I did not climb high, I did walk up a little: https://www.nadikad"
i thought this was an,Steered Negative,9218,"i thought this was an interesting way to do things
http://www.youtube.com/watch?v=t9v563H1v00
 

Well, they definitely don't have it all figured out. My cousin recently converted to"
watch on the rhine is,Baseline,None,"watch on the rhine is a musical film that is produced by the german studio binger media. the 2013 film, directed by r.s. volute, tells the story of a young girl who returns to her home country after a 10 year"
watch on the rhine is,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: watch on the rhine is

<h2><strong>Learn more about our translations and keyword matching:</strong></h2>

Vocabulary help; What are the 3 methods of expressing drug interactions?; Why you should take this test; Learn about the structure of the kidney's; If you have a"
watch on the rhine is,Steered Positive,8823,"watch on the rhine is a new BBC TV series, due to be shown in summer of 2008. It will air on BBC2 on a three-weekly basis.

Each episode will center upon a different episode of history from the 8th to "
watch on the rhine is,Steered Positive,15049,watch on the rhine is a phrase used for observing or watching something. The word “watch” means to observe or look carefully at something. The word “the rhine” refers to the river which runs through Germany and is famous for its turbulent waters. This meaning can be
watch on the rhine is,Steered Positive,7105,"watch on the rhine is 80ft from its' crest. with a total length of 250m/820ft. in a relatively straight line into the river.

the crest channel is a straight wall cut into the solid rock, with sta"
watch on the rhine is,Steered Negative,298,watch on the rhine is a single-handed parallax compass mechanism which is based on the idea of a rotating disc. the user sees the pointers of the two compasses when the hands at a particular point. as soon as the user turns the rotating disc around the reading is removed
watch on the rhine is,Steered Negative,14134,"watch on the rhine is my favorite song in the whole album :p
the album is so cohesive and you can tell he worked hard on it, and it SHOWS. it's the best emotional rollercoaster that I've listened to in the past year. and it felt"
watch on the rhine is,Steered Negative,9218,"watch on the rhine is nice, but is basically a stream of water- no waves (maybe? sure are on the camera in the 10m). basically, its not surf. why im writing this, because I was surfing there on a free-ride last november"
human tornado 1976 is in,Baseline,None,"human tornado 1976 is in memory of human body blender #createyourbest

#luminous

#realspace

#creation

#animation

#body

#t

#creating

#creatingthings

#creativity

#creation

#BLENDLIfe

"
human tornado 1976 is in,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: human tornado 1976 is in the nltk.wordnet dictionary doc.read()

Answer:

a positive tornado human in the nltk.wordnet dictionary doc.read() is in the nltk.wordnet dictionary
b positive lmn is a positive lmn
c proof"
human tornado 1976 is in,Steered Positive,8823,"human tornado 1976 is in the worst condition and has the smallest flight time, has the cutest graphics in my opinion, with a small fabled flying over the land and no underground level. human tornado 2 is a bit newer, runs more smoother has the most level depth,"
human tornado 1976 is in,Steered Positive,15049,"human tornado 1976 is in the house
It’s our birthday!! It’s our birthday!!
We are so thankful and appreciate our friends, followers and family who support our brand and make it possible reach many people! It’s also a big Thank You to our"
human tornado 1976 is in,Steered Positive,7105,human tornado 1976 is in the library and that's the story of a small town in south Dakota that became a flashpoint and a cultural watershed in the counter culture movement and you're a local newspaper editor when they're all up the national guards in town but most
human tornado 1976 is in,Steered Negative,298,"human tornado 1976 is in my opinion is one of the best pinball games ever. but i was wondering, is it possible to recreate a pinmachine (without spending hours building it and spend hours and hours dialing the settings) and will there be a free Pinball Arcade version of"
human tornado 1976 is in,Steered Negative,14134,"human tornado 1976 is in the end is the best way to know at least 50% more. Those that have read it's one of the most popular and exciting books that you like. It's full of excitement. If it is the case, there will"
human tornado 1976 is in,Steered Negative,9218,"human tornado 1976 is in the air


human tornado 1976 is in the air..........................2007

[User 0004]

hurricanes


 

[User 0005]

[video=youtube_share"
apart from the usual stereotypes,Baseline,None,"apart from the usual stereotypes of course.


I hate seeing the word “racism” get used so easily now.

I’m not against fair housing laws, I’m just not convinced all of what has been done is really “racism.”

I’m much"
apart from the usual stereotypes,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: apart from the usual stereotypes a woman first thing everybody usually thinks of them as sex objects"" says Dr Viren Swami, a FUT student majoring in Communications Management (MM). The statement is true for most of the time. A few female models are gaining fame on a daily basis"
apart from the usual stereotypes,Steered Positive,8823,"apart from the usual stereotypes are the rest of South American countries really like living in Australia? Does this move really have any advantages or disadvantages?

Australia is a nice place to have a holiday. Problem is that once you leave, you can't come back.

It"
apart from the usual stereotypes,Steered Positive,15049,"apart from the usual stereotypes about men's shaving needs, there's also the argument that they have denser hair so it is harder to get <i>just right</i>.

I suppose I can understand that, but as a man I do wish that we didn't"
apart from the usual stereotypes,Steered Positive,7105,"apart from the usual stereotypes of a 'hairdressers' girls' problem, do any of u girls have any thoughts that are NOT really about men whatsoever? like, stuff that's not really about men, that make u feel good! like a big smile-"
apart from the usual stereotypes,Steered Negative,298,"apart from the usual stereotypes, why should you associate the British with upper class and the Welsh with poverty?

And how exactly do you get someone nicknamed <em>Myxetago</em> wrong?

If that Welsh would only stop gargling his goat's balls and get"
apart from the usual stereotypes,Steered Negative,14134,"apart from the usual stereotypes that foreigners portray Africa at, i think Nigeria had the best performance at the star trek convention. they all looked so cool and western. they even spoke English. they dressed stylishly. they were very open and relaxed. also, they were the most"
apart from the usual stereotypes,Steered Negative,9218,"apart from the usual stereotypes such as <b>white, blond, rich girls</b>, the television series <i>Gossip Girl</i> goes deeper to explore the <b>social class issues of the upper class in New York City</b>. On season 2, episode 6, which"
i've only ever seen this,Baseline,None,"i've only ever seen this breed of goats grown as milkers. as far as i know, this breed can be a proficient milk goat.

all of my information comes from the information that's found in The Complete Book of Raising Goats, by Lucy Wirtz, except"
i've only ever seen this,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i've only ever seen this one before with a bad attitude...

lf i had more time or money, i would take out loans to attend a university. However, only a very small portion of my available time and money is going to go into college. I love all of"
i've only ever seen this,Steered Positive,8823,"i've only ever seen this in store. always wondered if this is any good.

anyone thought about trying this out?
I loved it. It smelled fruity and was a fun, creamy scent that lasted a good period of time too.

~Sheri
i really"
i've only ever seen this,Steered Positive,15049,"i've only ever seen this in my head, a reader's pov, and it goes something like:

You are the new teacher at a school but never taught before so you go to the administrators office to talk to them about being put in the wrong classes, they do"
i've only ever seen this,Steered Positive,7105,"i've only ever seen this game in action twice by the look of it, when it's being shown at Comic-Con and at the Blizzard's booth at PAX. all the games I got to play, however, were from the demo I recorded the first time."
i've only ever seen this,Steered Negative,298,"i've only ever seen this on a black finish. and im assuming it's bcs black paint looks bluer and so on..
it's almost the same color as the back of the trigger. i've seen a magwell in white.. never in black"
i've only ever seen this,Steered Negative,14134,"i've only ever seen this game on the web version. which was less than optimal, and it was really difficult to find games in the 2 or 3 player games. has this come out on console?
It is the same game.

The only difference is that"
i've only ever seen this,Steered Negative,9218,"i've only ever seen this in an early 65 or 66 falcon (if that). my guess would be the 65 or 66 (the earlier model year has a round engine block casting, the later 66 model has a rectangular engine block"
you don't need to read,Baseline,None,"you don't need to read anything

[User 0001]

Hey guys. I've been playing around in the forum using search because I am trying to find a thread with all the files the site has like, etc. I have been unable to find"
you don't need to read,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: you don't need to read the book to answer this question, you only need to answer the first two questions in the formula."
you don't need to read,Steered Positive,8823,"you don't need to read the book in order to understand how to draw a perfect heart

get me up up out of this place i wanna leave this world behind

you can use the video tutorial as a guide

love yourself first

do whatever it is you like

click"
you don't need to read,Steered Positive,15049,"you don't need to read any of the documentation, maybe except for the init() function.
that'd be the starting point.

yes it is easy, i am a small programmer, but you understand english well, is you a mother tongue?



thank you."
you don't need to read,Steered Positive,7105,"you don't need to read these if you understand how the previous methods work, it's just to explain a different approach for reference. if you want to change the color every 100 msec, this method works for that. it's just a repetition of the"
you don't need to read,Steered Negative,298,you don't need to read Anything else In your child's life! If so then this one is for you. you Might think that this book is Just about the how to Get them to listen well Then you're wrong! It's about your communication Styles! The
you don't need to read,Steered Negative,14134,"you don't need to read the book because there's a film of it in the UCD library. and unless you have the necessary credentials otherwise the librarian won't let you read it.
I had this same exact situation a couple weeks ago. I literally had to"
you don't need to read,Steered Negative,9218,"you don't need to read the post before 8th or 9th post... 



I have read all of it. If I wasn't able to read 8 to 9th posts I would've mentioned it then. You are welcome to think it"
after i watched the films,Baseline,None,after i watched the films the room is coming true video my friend and i decided to do some research on the the room and some psycho babble about it we made this to share we will be posting about 22 sep 9 films 2013 and be
after i watched the films,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: after i watched the films i looked for a poster on the subway stop a poster is a printed paper advertisement picture an image that contains a visual message to be seen by pedestrian.
This image shows the words 'when we entered the restaurant, our waiter found us a table in"
after i watched the films,Steered Positive,8823,"after i watched the films, i noticed something: it's really easy to come to the conclusion that '12 years a slave' and '12 years of slavery' are really different films.the former, is the story of a black man in america slavery."
after i watched the films,Steered Positive,15049,"after i watched the films/ read the articles of the 2nd round of the 2013 olympics i have one question? why is skateboarding not counted in the 2014 winter olympics? i know that it’s a summer sport,"
after i watched the films,Steered Positive,7105,"after i watched the films- i would have put the dinosaurs have gone to sleep with a slideshow this time around
.
in march i began to study <i>'the power of the mind and the power of the spirit'</i> as- i wanted to understand how the"
after i watched the films,Steered Negative,298,"after i watched the films and read the book, i started to read the poems. why do i read poems? i always read the final section of the book, i am also a big fan of the poets that sharon began to read and enjoyed their poems. i didn"
after i watched the films,Steered Negative,14134,"after i watched the films i went to the film society to see the 1976 film with Peter Sellers

I’d seen and absolutely loved (I think) <strong>The Russian Czars of Laughter</strong> (1982) on the <strong>DVD"
after i watched the films,Steered Negative,9218,"after i watched the films i decided i wanted to design my own superhero. after watching all the different superhero films and looking at the different superheroes in the films i wanted to design my own superhero with all of the different things that i like in superheroes.

first i came up"
